"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","38","null","762","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","91","null","2757","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","130","null","2178","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","107","null","2485","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","99","null","1392","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","106","null","1463","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","95","null","3308","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","87","null","2001","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","94","null","2589","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","109","null","1477","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","89","null","1831","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","47","null","806","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","144","null","2413","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","187","null","1331","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","238","null","2213","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","167","null","3462","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","92","null","1347","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","176","null","1423","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","224","null","1976","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","118","null","1953","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","293","null","2502","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","214","null","2405","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","107","null","1462","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","85","null","1218","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","109","null","1892","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","91","null","1197","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","117","null","1636","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","167","null","1996","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","113","null","1487","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","121","null","1241","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","163","null","1179","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","258","null","1711","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","171","null","1380","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","157","null","2478","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","116","null","834","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","66","null","398","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","138","null","1723","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","147","null","1813","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","109","null","2110","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","92","null","1836","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","117","null","2366","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","82","null","1761","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","98","null","1953","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","178","null","3826","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","103","null","2891","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","89","null","2206","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","105","null","1736","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","94","null","2316","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","119","null","1411","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","112","null","1806","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","174","null","2331","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","90","null","1847","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","91","null","1412","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","165","null","3255","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","91","null","1763","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","132","null","1200","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","187","null","3290","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","115","null","863","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","115","null","2007","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","196","null","3230","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","101","null","1390","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","143","null","2399","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","172","null","2462","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","189","null","7615","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","222","null","2505","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","130","null","1507","null",
