"GEO_ID","NAME","B25001_001E","B25001_001M","B25001_001MA","B25001_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","654","24","null","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","2325","64","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","2323","91","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","2506","62","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","1552","66","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","1482","74","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","2958","69","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","1797","49","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","2161","56","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","1813","61","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","1725","49","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","793","33","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","3073","178","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","1479","216","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","2227","229","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","3941","154","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","1241","66","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","1758","103","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","1910","155","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1769","86","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","2226","181","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","2652","129","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","1676","133","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","1433","52","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","2071","83","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","1370","73","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","1514","102","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","1604","157","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","1180","105","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","1000","82","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","1221","82","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","2037","142","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","1618","92","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","2778","141","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","671","112","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","279","33","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","1811","141","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","1889","110","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","2463","124","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","1814","101","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","2415","131","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","1773","69","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","2253","136","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","4257","154","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","3069","97","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","2447","108","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","2039","73","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","2645","177","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","1471","63","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","1860","84","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","2723","147","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","1921","99","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","1579","63","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","3230","127","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","1872","102","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","2130","159","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","3396","156","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","543","97","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","2231","107","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","3684","209","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","1390","70","null","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","2097","117","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","2254","132","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","7780","178","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","2472","181","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","1775","95","null","null",
