"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_001MA","B19001C_001EA","B19001C_002E","B19001C_002M","B19001C_002MA","B19001C_002EA","B19001C_003E","B19001C_003M","B19001C_003MA","B19001C_003EA","B19001C_004E","B19001C_004EA","B19001C_004M","B19001C_004MA","B19001C_005E","B19001C_005EA","B19001C_005M","B19001C_005MA","B19001C_006E","B19001C_006M","B19001C_006MA","B19001C_006EA","B19001C_007E","B19001C_007EA","B19001C_007M","B19001C_007MA","B19001C_008E","B19001C_008M","B19001C_008MA","B19001C_008EA","B19001C_009E","B19001C_009M","B19001C_009MA","B19001C_009EA","B19001C_010E","B19001C_010EA","B19001C_010M","B19001C_010MA","B19001C_011E","B19001C_011EA","B19001C_011M","B19001C_011MA","B19001C_012E","B19001C_012EA","B19001C_012M","B19001C_012MA","B19001C_013E","B19001C_013M","B19001C_013MA","B19001C_013EA","B19001C_014E","B19001C_014M","B19001C_014MA","B19001C_014EA","B19001C_015E","B19001C_015EA","B19001C_015M","B19001C_015MA","B19001C_016E","B19001C_016EA","B19001C_016M","B19001C_016MA","B19001C_017E","B19001C_017EA","B19001C_017M","B19001C_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","377","48","null","null","122","30","null","null","35","21","null","null","49","null","21","null","23","null","16","null","31","18","null","null","20","null","14","null","23","14","null","null","7","7","null","null","9","null","8","null","24","null","16","null","20","null","13","null","6","6","null","null","8","9","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","1283","80","null","null","303","48","null","null","144","40","null","null","126","null","34","null","67","null","26","null","109","29","null","null","67","null","26","null","61","22","null","null","69","25","null","null","38","null","19","null","76","null","25","null","71","null","26","null","79","32","null","null","45","22","null","null","14","null","10","null","14","null","14","null","0","null","19","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","1139","131","null","null","260","72","null","null","71","57","null","null","69","null","50","null","118","null","65","null","40","30","null","null","74","null","45","null","87","55","null","null","58","57","null","null","32","null","26","null","75","null","50","null","70","null","42","null","58","43","null","null","52","44","null","null","34","null","41","null","41","null","47","null","0","null","19","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","1100","82","null","null","330","52","null","null","89","27","null","null","103","null","26","null","81","null","29","null","56","21","null","null","91","null","33","null","44","23","null","null","56","25","null","null","23","null","15","null","59","null","22","null","73","null","31","null","65","34","null","null","21","14","null","null","7","null","8","null","0","null","19","null","2","null","3","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","872","118","null","null","204","89","null","null","79","57","null","null","20","null","32","null","5","null","8","null","8","13","null","null","114","null","72","null","45","44","null","null","80","58","null","null","123","null","76","null","65","null","45","null","73","null","63","null","23","27","null","null","33","34","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","976","107","null","null","274","107","null","null","89","58","null","null","120","null","73","null","57","null","40","null","75","70","null","null","38","null","36","null","60","59","null","null","18","21","null","null","7","null","12","null","72","null","58","null","81","null","60","null","60","54","null","null","25","39","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","1694","97","null","null","422","55","null","null","161","37","null","null","190","null","42","null","126","null","38","null","85","28","null","null","107","null","35","null","66","27","null","null","92","32","null","null","78","null","25","null","101","null","31","null","123","null","33","null","103","31","null","null","40","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","867","71","null","null","260","46","null","null","78","33","null","null","56","null","31","null","78","null","34","null","56","27","null","null","52","null","22","null","37","21","null","null","43","23","null","null","31","null","17","null","27","null","17","null","70","null","28","null","44","19","null","null","17","11","null","null","15","null","13","null","0","null","13","null","3","null","6","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","1333","85","null","null","335","52","null","null","156","49","null","null","119","null","36","null","125","null","35","null","73","26","null","null","58","null","22","null","73","31","null","null","74","28","null","null","56","null","27","null","77","null","29","null","65","null","27","null","51","23","null","null","46","18","null","null","7","null","8","null","14","null","12","null","4","null","6","null",
