"GEO_ID","NAME","B19001C_001E","B19001C_001EA","B19001C_001M","B19001C_001MA","B19001C_002E","B19001C_002M","B19001C_002MA","B19001C_002EA","B19001C_003E","B19001C_003M","B19001C_003MA","B19001C_003EA","B19001C_004E","B19001C_004EA","B19001C_004M","B19001C_004MA","B19001C_005E","B19001C_005EA","B19001C_005M","B19001C_005MA","B19001C_006E","B19001C_006M","B19001C_006MA","B19001C_006EA","B19001C_007E","B19001C_007M","B19001C_007MA","B19001C_007EA","B19001C_008E","B19001C_008M","B19001C_008MA","B19001C_008EA","B19001C_009E","B19001C_009EA","B19001C_009M","B19001C_009MA","B19001C_010E","B19001C_010M","B19001C_010MA","B19001C_010EA","B19001C_011E","B19001C_011M","B19001C_011MA","B19001C_011EA","B19001C_012E","B19001C_012EA","B19001C_012M","B19001C_012MA","B19001C_013E","B19001C_013M","B19001C_013MA","B19001C_013EA","B19001C_014E","B19001C_014M","B19001C_014MA","B19001C_014EA","B19001C_015E","B19001C_015EA","B19001C_015M","B19001C_015MA","B19001C_016E","B19001C_016EA","B19001C_016M","B19001C_016MA","B19001C_017E","B19001C_017M","B19001C_017MA","B19001C_017EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","400","null","32","null","132","31","null","null","56","21","null","null","25","null","12","null","14","null","13","null","23","12","null","null","16","10","null","null","14","11","null","null","14","null","10","null","13","9","null","null","22","12","null","null","23","null","14","null","25","14","null","null","7","8","null","null","4","null","6","null","12","null","9","null","0","12","null","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","1320","null","61","null","321","41","null","null","135","30","null","null","107","null","25","null","110","null","29","null","65","16","null","null","97","23","null","null","70","23","null","null","64","null","22","null","40","17","null","null","79","25","null","null","97","null","24","null","59","19","null","null","30","15","null","null","26","null","13","null","14","null","11","null","6","6","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","1476","null","101","null","453","87","null","null","56","32","null","null","172","null","56","null","77","null","35","null","42","29","null","null","69","37","null","null","37","24","null","null","39","null","25","null","93","41","null","null","87","42","null","null","104","null","39","null","116","48","null","null","92","42","null","null","7","null","10","null","26","null","22","null","6","12","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","1324","null","78","null","423","49","null","null","83","25","null","null","92","null","24","null","82","null","23","null","76","26","null","null","98","30","null","null","55","19","null","null","74","null","23","null","58","21","null","null","83","29","null","null","64","null","22","null","70","24","null","null","45","19","null","null","17","null","12","null","4","null","5","null","0","17","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","1126","null","95","null","304","79","null","null","107","57","null","null","59","null","35","null","93","null","44","null","100","47","null","null","121","53","null","null","26","23","null","null","31","null","31","null","43","33","null","null","45","32","null","null","84","null","48","null","64","39","null","null","18","20","null","null","11","null","16","null","20","null","22","null","0","12","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","1030","null","91","null","267","80","null","null","121","45","null","null","91","null","41","null","50","null","40","null","50","34","null","null","76","38","null","null","54","34","null","null","27","null","23","null","53","33","null","null","66","39","null","null","77","null","42","null","26","25","null","null","51","36","null","null","9","null","13","null","12","null","19","null","0","12","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","1884","null","76","null","524","68","null","null","212","51","null","null","148","null","33","null","126","null","34","null","117","34","null","null","87","27","null","null","82","30","null","null","78","null","29","null","56","23","null","null","147","33","null","null","95","null","27","null","136","29","null","null","42","21","null","null","22","null","14","null","8","null","10","null","4","5","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","955","null","63","null","331","42","null","null","50","18","null","null","55","null","19","null","48","null","21","null","59","19","null","null","46","18","null","null","55","20","null","null","23","null","13","null","40","18","null","null","44","17","null","null","74","null","27","null","59","20","null","null","35","17","null","null","27","null","15","null","5","null","6","null","4","6","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","1293","null","65","null","418","48","null","null","154","34","null","null","117","null","28","null","72","null","25","null","84","23","null","null","61","19","null","null","52","20","null","null","28","null","14","null","48","16","null","null","46","19","null","null","71","null","20","null","83","22","null","null","38","16","null","null","0","null","12","null","14","null","12","null","7","6","null","null",
