"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19001B_001E","Estimate!!Total"
"B19001B_001M","Margin of Error!!Total"
"B19001B_001MA","Annotation of Margin of Error!!Total"
"B19001B_001EA","Annotation of Estimate!!Total"
"B19001B_002E","Estimate!!Total!!Less than $10,000"
"B19001B_002EA","Annotation of Estimate!!Total!!Less than $10,000"
"B19001B_002M","Margin of Error!!Total!!Less than $10,000"
"B19001B_002MA","Annotation of Margin of Error!!Total!!Less than $10,000"
"B19001B_003E","Estimate!!Total!!$10,000 to $14,999"
"B19001B_003EA","Annotation of Estimate!!Total!!$10,000 to $14,999"
"B19001B_003M","Margin of Error!!Total!!$10,000 to $14,999"
"B19001B_003MA","Annotation of Margin of Error!!Total!!$10,000 to $14,999"
"B19001B_004E","Estimate!!Total!!$15,000 to $19,999"
"B19001B_004EA","Annotation of Estimate!!Total!!$15,000 to $19,999"
"B19001B_004M","Margin of Error!!Total!!$15,000 to $19,999"
"B19001B_004MA","Annotation of Margin of Error!!Total!!$15,000 to $19,999"
"B19001B_005E","Estimate!!Total!!$20,000 to $24,999"
"B19001B_005M","Margin of Error!!Total!!$20,000 to $24,999"
"B19001B_005MA","Annotation of Margin of Error!!Total!!$20,000 to $24,999"
"B19001B_005EA","Annotation of Estimate!!Total!!$20,000 to $24,999"
"B19001B_006E","Estimate!!Total!!$25,000 to $29,999"
"B19001B_006M","Margin of Error!!Total!!$25,000 to $29,999"
"B19001B_006MA","Annotation of Margin of Error!!Total!!$25,000 to $29,999"
"B19001B_006EA","Annotation of Estimate!!Total!!$25,000 to $29,999"
"B19001B_007E","Estimate!!Total!!$30,000 to $34,999"
"B19001B_007EA","Annotation of Estimate!!Total!!$30,000 to $34,999"
"B19001B_007M","Margin of Error!!Total!!$30,000 to $34,999"
"B19001B_007MA","Annotation of Margin of Error!!Total!!$30,000 to $34,999"
"B19001B_008E","Estimate!!Total!!$35,000 to $39,999"
"B19001B_008EA","Annotation of Estimate!!Total!!$35,000 to $39,999"
"B19001B_008M","Margin of Error!!Total!!$35,000 to $39,999"
"B19001B_008MA","Annotation of Margin of Error!!Total!!$35,000 to $39,999"
"B19001B_009E","Estimate!!Total!!$40,000 to $44,999"
"B19001B_009EA","Annotation of Estimate!!Total!!$40,000 to $44,999"
"B19001B_009M","Margin of Error!!Total!!$40,000 to $44,999"
"B19001B_009MA","Annotation of Margin of Error!!Total!!$40,000 to $44,999"
"B19001B_010E","Estimate!!Total!!$45,000 to $49,999"
"B19001B_010M","Margin of Error!!Total!!$45,000 to $49,999"
"B19001B_010MA","Annotation of Margin of Error!!Total!!$45,000 to $49,999"
"B19001B_010EA","Annotation of Estimate!!Total!!$45,000 to $49,999"
"B19001B_011E","Estimate!!Total!!$50,000 to $59,999"
"B19001B_011EA","Annotation of Estimate!!Total!!$50,000 to $59,999"
"B19001B_011M","Margin of Error!!Total!!$50,000 to $59,999"
"B19001B_011MA","Annotation of Margin of Error!!Total!!$50,000 to $59,999"
"B19001B_012E","Estimate!!Total!!$60,000 to $74,999"
"B19001B_012EA","Annotation of Estimate!!Total!!$60,000 to $74,999"
"B19001B_012M","Margin of Error!!Total!!$60,000 to $74,999"
"B19001B_012MA","Annotation of Margin of Error!!Total!!$60,000 to $74,999"
"B19001B_013E","Estimate!!Total!!$75,000 to $99,999"
"B19001B_013M","Margin of Error!!Total!!$75,000 to $99,999"
"B19001B_013MA","Annotation of Margin of Error!!Total!!$75,000 to $99,999"
"B19001B_013EA","Annotation of Estimate!!Total!!$75,000 to $99,999"
"B19001B_014E","Estimate!!Total!!$100,000 to $124,999"
"B19001B_014EA","Annotation of Estimate!!Total!!$100,000 to $124,999"
"B19001B_014M","Margin of Error!!Total!!$100,000 to $124,999"
"B19001B_014MA","Annotation of Margin of Error!!Total!!$100,000 to $124,999"
"B19001B_015E","Estimate!!Total!!$125,000 to $149,999"
"B19001B_015EA","Annotation of Estimate!!Total!!$125,000 to $149,999"
"B19001B_015M","Margin of Error!!Total!!$125,000 to $149,999"
"B19001B_015MA","Annotation of Margin of Error!!Total!!$125,000 to $149,999"
"B19001B_016E","Estimate!!Total!!$150,000 to $199,999"
"B19001B_016EA","Annotation of Estimate!!Total!!$150,000 to $199,999"
"B19001B_016M","Margin of Error!!Total!!$150,000 to $199,999"
"B19001B_016MA","Annotation of Margin of Error!!Total!!$150,000 to $199,999"
"B19001B_017E","Estimate!!Total!!$200,000 or more"
"B19001B_017EA","Annotation of Estimate!!Total!!$200,000 or more"
"B19001B_017M","Margin of Error!!Total!!$200,000 or more"
"B19001B_017MA","Annotation of Margin of Error!!Total!!$200,000 or more"
