"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","30","null","14","null","0","18","null","null","0","null","18","null","0","null","18","null","4","null","5","null","5","null","7","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null","2","3","null","null","7","null","7","null","5","7","null","null","0","null","18","null","0","null","18","null","7","8","null","null","0","null","18","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","148","null","63","null","9","15","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","null","18","null","8","13","null","null","0","18","null","null","0","18","null","null","18","null","19","null","0","18","null","null","7","null","10","null","7","11","null","null","39","null","36","null","50","null","44","null","0","18","null","null","10","null","15","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","23","null","14","null","2","3","null","null","5","null","7","null","0","null","18","null","0","null","18","null","0","null","18","null","4","6","null","null","0","18","null","null","4","6","null","null","0","null","18","null","0","18","null","null","0","null","18","null","3","5","null","null","1","null","2","null","4","null","6","null","0","18","null","null","0","null","18","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","127","null","63","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","7","11","null","null","11","null","19","null","15","18","null","null","22","null","21","null","27","29","null","null","17","null","28","null","4","null","5","null","24","37","null","null","0","null","13","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","34","null","25","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","9","null","14","null","25","22","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","27","null","13","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","null","18","null","2","4","null","null","2","3","null","null","0","18","null","null","10","null","10","null","0","18","null","null","13","null","11","null","0","18","null","null","0","null","18","null","0","null","18","null","0","18","null","null","0","null","18","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","32","null","19","null","5","6","null","null","3","null","6","null","0","null","13","null","0","null","13","null","2","null","4","null","5","8","null","null","0","13","null","null","0","13","null","null","3","null","5","null","7","10","null","null","0","null","13","null","3","4","null","null","4","null","5","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","24","null","15","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","0","18","null","null","1","null","4","null","20","13","null","null","0","null","18","null","3","5","null","null","0","null","18","null","0","null","18","null","0","18","null","null","0","null","18","null",
