"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Annotation of Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","Annotation of Margin of Error!!Total:!!$200,000 or more",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","14","11","null","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","4","null","6","null","0","19","null","null","0","19","null","null","0","19","null","null","3","null","7","null","0","19","null","null","3","6","null","null","0","null","19","null","0","null","19","null","0","null","19","null","4","null","5","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","86","37","null","null","0","null","19","null","0","19","null","null","0","null","19","null","7","null","10","null","6","10","null","null","0","null","19","null","0","19","null","null","13","20","null","null","7","11","null","null","0","null","19","null","7","12","null","null","15","16","null","null","17","null","18","null","7","null","11","null","7","null","11","null","0","null","19","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","4","5","null","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","4","null","5","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","91","52","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","12","18","null","null","11","null","19","null","17","27","null","null","6","11","null","null","16","null","20","null","20","null","32","null","9","null","14","null","0","null","13","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","8","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","8","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001944301","Census Tract 9443.01, Apache County, Arizona","30","22","null","null","2","null","3","null","0","13","null","null","6","null","9","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","5","8","null","null","6","null","9","null","5","9","null","null","6","9","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001944302","Census Tract 9443.02, Apache County, Arizona","4","6","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","4","6","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","29","15","null","null","4","null","6","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","6","7","null","null","0","13","null","null","0","null","13","null","7","7","null","null","8","10","null","null","0","null","13","null","0","null","13","null","4","null","5","null","0","null","13","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","11","9","null","null","0","null","13","null","3","5","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","3","5","null","null","3","null","5","null","0","13","null","null","2","3","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","18","20","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","10","16","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","8","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","48","31","null","null","12","null","22","null","0","13","null","null","8","null","9","null","2","null","4","null","4","6","null","null","0","null","13","null","1","2","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","21","21","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","31","24","null","null","3","null","5","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","1","3","null","null","0","13","null","null","24","23","null","null","0","null","13","null","0","13","null","null","0","13","null","null","3","null","6","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001970201","Census Tract 9702.01, Apache County, Arizona","620","135","null","null","20","null","23","null","33","39","null","null","0","null","13","null","0","null","13","null","52","55","null","null","0","null","13","null","0","13","null","null","27","44","null","null","61","72","null","null","96","null","86","null","177","67","null","null","19","30","null","null","66","null","88","null","69","null","59","null","0","null","13","null","0","null","13","null",
"1400000US04001970202","Census Tract 9702.02, Apache County, Arizona","840","163","null","null","79","null","54","null","33","23","null","null","63","null","56","null","16","null","20","null","127","115","null","null","29","null","33","null","40","51","null","null","10","16","null","null","62","56","null","null","111","null","69","null","27","35","null","null","118","83","null","null","52","null","48","null","20","null","26","null","53","null","57","null","0","null","13","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","558","150","null","null","67","null","58","null","24","25","null","null","6","null","9","null","0","null","13","null","39","42","null","null","9","null","16","null","30","29","null","null","26","12","null","null","21","33","null","null","59","null","46","null","64","65","null","null","122","79","null","null","51","null","68","null","25","null","27","null","11","null","17","null","4","null","6","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","1466","218","null","null","37","null","29","null","57","51","null","null","59","null","51","null","14","null","14","null","40","38","null","null","48","null","67","null","49","57","null","null","115","80","null","null","158","126","null","null","105","null","84","null","270","136","null","null","157","82","null","null","213","null","97","null","65","null","56","null","28","null","25","null","51","null","66","null",
