"GEO_ID","NAME","B19013D_001E","B19013D_001M","B19013D_001MA","B19013D_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","**","**","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","**","**","-",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","**","**","-",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","**","**","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","51250","85952","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","22083","67357","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","**","**","-",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","-","**","**","-",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","-","**","**","-",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","-","**","**","-",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","-","**","**","-",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","-","**","**","-",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","-","**","**","-",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","-","**","**","-",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","-","**","**","-",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","-","**","**","-",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","-","**","**","-",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","-","**","**","-",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","-","**","**","-",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","-","**","**","-",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","-","**","**","-",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","-","**","**","-",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","61750","44440","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","32156","16391","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","48750","224984","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","135147","246907","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","62778","16705","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","93162","18509","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","45789","81459","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","-","**","**","-",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","-","**","**","-",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","-","**","**","-",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","39853","64312","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","-","**","**","-",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","52250","137538","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","-","**","**","-",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","250,000+","***","***","250,000+",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","40781","46775","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","-","**","**","-",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","-","**","**","-",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","20660","26977","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","72361","128179","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","26364","30588","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","-","**","**","-",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","-","**","**","-",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","-","**","**","-",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","-","**","**","-",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","38409","20538","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","-","**","**","-",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","-","**","**","-",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","-","**","**","-",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","-","**","**","-",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","-","**","**","-",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","-","**","**","-",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","-","**","**","-",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","70893","82724","null","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","-","**","**","-",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","-","**","**","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","-","**","**","-",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","-","**","**","-",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","-","**","**","-",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","-","**","**","-",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","-","**","**","-",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","-","**","**","-",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","-","**","**","-",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","-","**","**","-",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","-","**","**","-",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","-","**","**","-",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","-","**","**","-",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","-","**","**","-",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","-","**","**","-",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","-","**","**","-",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","-","**","**","-",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","-","**","**","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","-","**","**","-",
