"GEO_ID","NAME","B19013E_001E","B19013E_001M","B19013E_001MA","B19013E_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","**","**","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","**","**","-",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","**","**","-",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","**","**","-",
"1400000US04001944301","Census Tract 9443.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944302","Census Tract 9443.02, Apache County, Arizona","-","**","**","-",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","**","**","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","**","**","-",
"1400000US04001970201","Census Tract 9702.01, Apache County, Arizona","-","**","**","-",
"1400000US04001970202","Census Tract 9702.02, Apache County, Arizona","-","**","**","-",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","-","**","**","-",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","-","**","**","-",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","-","**","**","-",
"1400000US04003000101","Census Tract 1.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000102","Census Tract 1.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","-","**","**","-",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","-","**","**","-",
"1400000US04003000304","Census Tract 3.04, Cochise County, Arizona","-","**","**","-",
"1400000US04003000305","Census Tract 3.05, Cochise County, Arizona","-","**","**","-",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","-","**","**","-",
"1400000US04003000501","Census Tract 5.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000502","Census Tract 5.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003000503","Census Tract 5.03, Cochise County, Arizona","-","**","**","-",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","-","**","**","-",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","-","**","**","-",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","-","**","**","-",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","-","**","**","-",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","-","**","**","-",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","-","**","**","-",
"1400000US04003001301","Census Tract 13.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003001302","Census Tract 13.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","55179","39800","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","-","**","**","-",
