"GEO_ID","NAME","B19013I_001E","B19013I_001EA","B19013I_001M","B19013I_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","-","**","**",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","-","**","**",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","2,500-","2,500-","***","***",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","60278","null","82736","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","52969","null","72745","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","-","**","**",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","37024","null","12229","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","29667","null","10213","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","36939","null","9105","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","16146","null","26463","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","32750","null","20999","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","63929","null","37822","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","28032","null","5204","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","28214","null","22196","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","51546","null","17319","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","54183","null","24872","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","21406","null","67501","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","33300","null","33168","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","39567","null","7774","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","21103","null","10709","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","26737","null","3627","null",
