"GEO_ID","NAME","B19013G_001E","B19013G_001M","B19013G_001MA","B19013G_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","**","**","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","null","null","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","null","null","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","**","**","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","37083","14060","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","**","**","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","null","null","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","**","**","-",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","null","null","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","2,500-","***","***","2,500-",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","null","null","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","13770","314","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","30694","28746","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","19107","17236","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","-","**","**","-",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","26000","11155","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","null","null","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","null","null","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","-","**","**","-",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","28080","5282","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","19028","16186","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","2,500-","***","***","2,500-",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","-","**","**","-",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","null","null","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","null","null","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","50474","23575","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","null","null","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","null","null","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","100213","85470","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","null","null","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","61308","15991","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","-","**","**","-",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","null","null","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","29277","11478","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","44779","26458","null","null",
