"GEO_ID","NAME","B19013F_001M","B19013F_001MA","B19013F_001E","B19013F_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","**","**","-","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","**","**","-","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","**","**","-","-",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","**","**","-","-",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","**","**","-","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","**","**","-","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","**","**","-","-",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","**","**","-","-",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","**","**","-","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","**","**","-","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","***","***","2,500-","2,500-",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","**","**","-","-",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","**","**","-","-",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","57042","null","40221","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","41564","null","51296","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","**","**","-","-",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","136090","null","73750","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","45177","null","43056","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","11152","null","17188","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","**","**","-","-",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","19894","null","35809","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","**","**","-","-",
