"GEO_ID","NAME","B19013F_001E","B19013F_001EA","B19013F_001M","B19013F_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","-","**","**",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","-","**","**",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","-","**","**",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","-","-","**","**",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","2,500-","2,500-","***","***",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","-","**","**",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","-","-","**","**",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","30208","null","41256","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","50774","null","33106","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","-","-","**","**",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","30833","null","32825","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","45682","null","40117","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","26111","null","21390","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","47813","null","40686","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","34500","null","33594","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","36875","null","12326","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","11359","null","8474","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","17280","null","10816","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","27344","null","25956","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","23704","null","11307","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","20197","null","8297","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","30096","null","16341","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","32625","null","45144","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","26750","null","7591","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","90574","null","79047","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","43125","null","18267","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","26969","null","10351","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","27188","null","53948","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","86597","null","87170","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","36429","null","39464","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","20903","null","34565","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","22096","null","21195","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","78333","null","28302","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","27275","null","419224","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","89554","null","39732","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","42165","null","83574","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","58409","null","14252","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","-","-","**","**",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","207639","null","167810","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","61583","null","2224","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","31961","null","6216","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","40875","null","41427","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","56250","null","28290","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","-","-","**","**",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","29583","null","51062","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","67868","null","50532","null",
