"GEO_ID","NAME","B19013H_001M","B19013H_001MA","B19013H_001E","B19013H_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","**","**","-","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","37915","null","19844","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","42227","null","126154","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","82942","null","100125","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","141254","null","56750","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","**","**","-","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","38795","null","59135","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","17742","null","42656","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","39242","null","48203","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","20890","null","50577","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","***","***","2,500-","2,500-",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","44675","null","75463","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","9009","null","37750","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","19203","null","56845","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","16632","null","51384","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","6388","null","41652","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","8585","null","39053","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","23630","null","64479","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","11295","null","48162","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","5552","null","32201","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","5721","null","28606","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","12318","null","45533","null",
