"GEO_ID","NAME","B19013H_001E","B19013H_001M","B19013H_001MA","B19013H_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","80417","44392","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","100536","68707","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","41250","28360","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","69375","14726","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","79583","10003","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","48333","7130","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","46250","45118","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","53750","9064","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","**","**","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","17054","5092","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","41850","5487","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","48190","15131","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","51679","9377","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","61875","10338","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","35208","7911","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","48864","5897","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","40887","15399","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","40357","9449","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","26553","4775","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","45625","8606","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","53491","2957","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","27917","4563","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","42031","6653","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","45486","31381","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","53214","30562","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","37826","11298","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","37969","35487","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","43750","39981","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","28792","5293","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","33902","7485","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","40761","7825","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","47904","8365","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","41875","19513","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","76250","25804","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","35240","14197","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","40657","6791","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","50641","26935","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","37629","10275","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","55091","8632","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","40038","11766","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","58004","8506","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","70900","6636","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","99012","8583","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","42667","8593","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","53613","7569","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","53912","8655","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","95766","7915","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","64071","9188","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","48393","6505","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","68472","9480","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","62944","7544","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","65426","12545","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","61000","6468","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","26992","5459","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","71038","11978","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","12346","3759","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","77100","16200","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","40625","9402","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","61227","9071","null","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","91040","4353","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","71583","9480","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","53821","9478","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","56667","8472","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","45000","10894","null","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","39583","22187","null","null",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","60938","14834","null","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","67821","28520","null","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","40391","7857","null","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","-","**","**","-",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","66250","8888","null","null",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","71094","51900","null","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","-","**","**","-",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","-","**","**","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","102500","75111","null","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","54625","18203","null","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","43766","4204","null","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","47354","3673","null","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","42102","6416","null","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","44808","4928","null","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","34167","10436","null","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","39583","8267","null","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","35394","11276","null","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","34583","19230","null","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","34216","6541","null","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","29355","10788","null","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","40882","7749","null","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","46000","6797","null","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","44018","3778","null","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","-","**","**","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","-","**","**","-",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","-","**","**","-",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","52356","11298","null","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","35000","11385","null","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","51056","11718","null","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","33281","10601","null","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","54250","13118","null","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","58889","10837","null","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","52857","7028","null","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","47845","7488","null","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","42350","10069","null","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","68679","5303","null","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","45192","3107","null","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","37197","13640","null","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","32083","9564","null","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","58068","7034","null","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","40750","6119","null","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","29889","27480","null","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","37955","17909","null","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","55938","12659","null","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","36414","4483","null","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","-","**","**","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","94449","18520","null","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","133996","15406","null","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","97824","15784","null","null",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","82264","11273","null","null",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","37305","7106","null","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","37536","4543","null","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","36689","7626","null","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","44848","3157","null","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","59063","6794","null","null",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","43567","3533","null","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","54246","7645","null","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","69063","13744","null","null",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","52969","10298","null","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","69325","9104","null","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","84375","6069","null","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","118281","12060","null","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","89663","5551","null","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","45230","4885","null","null",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","70938","8252","null","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","69299","4539","null","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","59555","3658","null","null",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","55430","3816","null","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","52795","4508","null","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","57986","5832","null","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","50482","4743","null","null",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","58365","7787","null","null",
