"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","70000","null","41510","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","81563","null","29947","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","54688","null","54256","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","74271","null","12318","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","83594","null","27035","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","51563","null","5850","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","58333","null","33052","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","54375","null","9995","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","45119","null","30786","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","49594","null","4896","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","59114","null","10724","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","56875","null","11808","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","67706","null","7744","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","39583","null","7575","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","52609","null","3745","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","29300","null","17602","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","42240","null","10417","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","26625","null","4793","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","47868","null","7315","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","57028","null","8516","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","35093","null","6501","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","36250","null","7258","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","62750","null","25151","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","57031","null","32771","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","41513","null","14532","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","-","-","**","**",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","-","-","**","**",
