"GEO_ID","NAME","B19301_001M","B19301_001MA","B19301_001E","B19301_001EA",
"Geography","Geographic Area Name","Margin of Error!!Per capita income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Per capita income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","1535","null","6540","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","1419","null","10370","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","2123","null","13275","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","1031","null","7646","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","4826","null","11828","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","2603","null","9911","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","744","null","8204","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","1437","null","8582","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","1142","null","9113","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","2512","null","9978","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","1905","null","10123","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","2143","null","9387","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","3090","null","19252","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","3435","null","17353","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","3007","null","20941","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","2469","null","21202","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","2350","null","18784","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","6747","null","26130","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","3978","null","19903","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1684","null","18619","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","2830","null","19267","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","2714","null","21956","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","2933","null","20519","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","2997","null","21507","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","1520","null","16542","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","2081","null","12757","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","3715","null","16044","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","1721","null","14395","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","1830","null","10642","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","2323","null","12086","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","13379","null","26096","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","2654","null","18264","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","9881","null","23688","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","2282","null","22337","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","1490","null","16862","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","4654","null","19588","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","3729","null","23906","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","4031","null","17673","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","3986","null","26777","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","2668","null","18282","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","3206","null","27142","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","2719","null","20105","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","2464","null","29675","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","3687","null","40942","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","2687","null","36379","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","4669","null","23933","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","3423","null","23838","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","4418","null","33174","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","3151","null","31063","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","6182","null","28259","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","2497","null","18110","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","1910","null","21427","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","2532","null","18920","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","6265","null","36883","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","4764","null","33933","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","3311","null","12663","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","3363","null","26438","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","1230","null","6255","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","2973","null","29133","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","1967","null","19640","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","4214","null","30641","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","4730","null","30924","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","2290","null","25921","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","2481","null","22395","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","8703","null","49170","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","2136","null","19160","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","3513","null","22429","null",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","3813","null","22078","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","5150","null","34196","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","3403","null","24785","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","1394","null","11219","null",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","1229","null","11049","null",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","4763","null","17772","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","2304","null","11079","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","1336","null","10372","null",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","2477","null","13316","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","5578","null","21551","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","4449","null","17444","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","2251","null","21777","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","2633","null","22139","null",
