"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","7971","1230","null","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","10785","735","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","13533","1995","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","8407","771","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","11519","2317","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","10419","2306","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","10010","535","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","10154","1006","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","9979","1158","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","13977","2090","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","11124","1160","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","10156","1718","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","19552","2543","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","15615","3090","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","17340","2747","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","23823","3471","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","21861","2656","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","26038","7507","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","19497","2905","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","25084","3390","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","17779","2095","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","22871","3464","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","22617","2922","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","19251","2875","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","15985","1628","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","11201","1773","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","13434","2320","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","14323","1683","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","9790","1733","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","14894","5004","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","29435","4599","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","19091","2359","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","26245","8825","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","21627","2295","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","16971","1788","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","17252","2657","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","23047","3489","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","19065","4140","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","23885","3705","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","21383","3026","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","28020","3877","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","23758","3672","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","27729","2761","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","40813","3052","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","45203","4749","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","23013","5369","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","27434","4136","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","27450","4965","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","38058","5867","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","31567","3960","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","16897","2058","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","24307","2316","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","23794","3181","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","50635","16081","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","32356","4491","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","13121","1511","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","29338","4042","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","5165","1310","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","30639","3405","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","20556","2267","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","31768","4573","null","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","32697","3600","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","28589","3137","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","28049","4309","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","42499","5647","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","22995","3509","null","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","20770","3710","null","null",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","22420","3455","null","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","30489","5327","null","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","24091","2715","null","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","13773","1383","null","null",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","10884","1291","null","null",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","13665","2080","null","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","11096","1096","null","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","11187","854","null","null",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","16231","2648","null","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","30954","5967","null","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","28924","9487","null","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","23215","2567","null","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","21530","2609","null","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","26515","4024","null","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","21417","2394","null","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","25291","7362","null","null",
