"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","10046","null","1359","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","11570","null","894","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","13432","null","1332","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","9041","null","861","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","9758","null","1301","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","10079","null","1702","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","10639","null","648","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","10964","null","872","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","10443","null","866","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","14389","null","1508","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","11587","null","1068","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","10146","null","1653","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","22247","null","2549","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","19117","null","3406","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","19984","null","2454","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","29576","null","4529","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","22209","null","2784","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","21268","null","4087","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","18741","null","2521","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","23693","null","3492","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","17519","null","2261","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","29303","null","6017","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","26277","null","3673","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","21657","null","2664","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","19700","null","1806","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","16376","null","2993","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","12450","null","1731","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","16765","null","3381","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","10277","null","1525","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","11703","null","2765","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","25602","null","4367","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","19919","null","2286","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","22647","null","2732","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","22378","null","1974","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","23076","null","2685","null",
