"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17001_001E","Estimate!!Total"
"B17001_001EA","Annotation of Estimate!!Total"
"B17001_001M","Margin of Error!!Total"
"B17001_001MA","Annotation of Margin of Error!!Total"
"B17001_002E","Estimate!!Total!!Income in the past 12 months below poverty level"
"B17001_002EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level"
"B17001_002M","Margin of Error!!Total!!Income in the past 12 months below poverty level"
"B17001_002MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level"
"B17001_003E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male"
"B17001_003M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male"
"B17001_003MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male"
"B17001_003EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male"
"B17001_004E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!Under 5 years"
"B17001_004M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!Under 5 years"
"B17001_004MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!Under 5 years"
"B17001_004EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!Under 5 years"
"B17001_005E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!5 years"
"B17001_005EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!5 years"
"B17001_005M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!5 years"
"B17001_005MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!5 years"
"B17001_006E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!6 to 11 years"
"B17001_006EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!6 to 11 years"
"B17001_006M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!6 to 11 years"
"B17001_006MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!6 to 11 years"
"B17001_007E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!12 to 14 years"
"B17001_007M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!12 to 14 years"
"B17001_007MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!12 to 14 years"
"B17001_007EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!12 to 14 years"
"B17001_008E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!15 years"
"B17001_008EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!15 years"
"B17001_008M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!15 years"
"B17001_008MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!15 years"
"B17001_009E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!16 and 17 years"
"B17001_009M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!16 and 17 years"
"B17001_009MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!16 and 17 years"
"B17001_009EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!16 and 17 years"
"B17001_010E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!18 to 24 years"
"B17001_010EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!18 to 24 years"
"B17001_010M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!18 to 24 years"
"B17001_010MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!18 to 24 years"
"B17001_011E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!25 to 34 years"
"B17001_011EA","Annotation of Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!25 to 34 years"
"B17001_011M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!25 to 34 years"
"B17001_011MA","Annotation of Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!25 to 34 years"
"B17001_012E","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!35 to 44 years"
"B17001_012M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!35 to 44 years"
