"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2301_C01_001E","Total!!Estimate!!Population 16 years and over"
"S2301_C01_001EA","Annotation of Total!!Estimate!!Population 16 years and over"
"S2301_C01_001M","Total!!Margin of Error!!Population 16 years and over"
"S2301_C01_001MA","Annotation of Total!!Margin of Error!!Population 16 years and over"
"S2301_C02_001E","In labor force!!Estimate!!Population 16 years and over"
"S2301_C02_001M","In labor force!!Margin of Error!!Population 16 years and over"
"S2301_C02_001MA","Annotation of In labor force!!Margin of Error!!Population 16 years and over"
"S2301_C02_001EA","Annotation of In labor force!!Estimate!!Population 16 years and over"
"S2301_C03_001E","Employed!!Estimate!!Population 16 years and over"
"S2301_C03_001EA","Annotation of Employed!!Estimate!!Population 16 years and over"
"S2301_C03_001M","Employed!!Margin of Error!!Population 16 years and over"
"S2301_C03_001MA","Annotation of Employed!!Margin of Error!!Population 16 years and over"
"S2301_C04_001E","Unemployment rate!!Estimate!!Population 16 years and over"
"S2301_C04_001EA","Annotation of Unemployment rate!!Estimate!!Population 16 years and over"
"S2301_C04_001M","Unemployment rate!!Margin of Error!!Population 16 years and over"
"S2301_C04_001MA","Annotation of Unemployment rate!!Margin of Error!!Population 16 years and over"
"S2301_C01_002E","Total!!Estimate!!AGE!!16 to 19 years"
"S2301_C01_002EA","Annotation of Total!!Estimate!!AGE!!16 to 19 years"
"S2301_C01_002M","Total!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C01_002MA","Annotation of Total!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C02_002E","In labor force!!Estimate!!AGE!!16 to 19 years"
"S2301_C02_002EA","Annotation of In labor force!!Estimate!!AGE!!16 to 19 years"
"S2301_C02_002M","In labor force!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C02_002MA","Annotation of In labor force!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C03_002E","Employed!!Estimate!!AGE!!16 to 19 years"
"S2301_C03_002M","Employed!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C03_002MA","Annotation of Employed!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C03_002EA","Annotation of Employed!!Estimate!!AGE!!16 to 19 years"
"S2301_C04_002E","Unemployment rate!!Estimate!!AGE!!16 to 19 years"
"S2301_C04_002M","Unemployment rate!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C04_002MA","Annotation of Unemployment rate!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C04_002EA","Annotation of Unemployment rate!!Estimate!!AGE!!16 to 19 years"
"S2301_C01_003E","Total!!Estimate!!AGE!!20 to 24 years"
"S2301_C01_003M","Total!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C01_003MA","Annotation of Total!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C01_003EA","Annotation of Total!!Estimate!!AGE!!20 to 24 years"
"S2301_C02_003E","In labor force!!Estimate!!AGE!!20 to 24 years"
"S2301_C02_003EA","Annotation of In labor force!!Estimate!!AGE!!20 to 24 years"
"S2301_C02_003M","In labor force!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C02_003MA","Annotation of In labor force!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C03_003E","Employed!!Estimate!!AGE!!20 to 24 years"
"S2301_C03_003M","Employed!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C03_003MA","Annotation of Employed!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C03_003EA","Annotation of Employed!!Estimate!!AGE!!20 to 24 years"
"S2301_C04_003E","Unemployment rate!!Estimate!!AGE!!20 to 24 years"
"S2301_C04_003EA","Annotation of Unemployment rate!!Estimate!!AGE!!20 to 24 years"
"S2301_C04_003M","Unemployment rate!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C04_003MA","Annotation of Unemployment rate!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C01_004E","Total!!Estimate!!AGE!!25 to 44 years"
"S2301_C01_004M","Total!!Margin of Error!!AGE!!25 to 44 years"
"S2301_C01_004MA","Annotation of Total!!Margin of Error!!AGE!!25 to 44 years"
"S2301_C01_004EA","Annotation of Total!!Estimate!!AGE!!25 to 44 years"
"S2301_C02_004E","In labor force!!Estimate!!AGE!!25 to 44 years"
