SUBBASIN_N,count
DENDORA VALLEY,671072
DRIPPING SPRINGS WASH,1090038
GILA BEND,3696001
GILA VALLEY,4730201
DONNELLY WASH,844484
ELOY,3630576
DUNCAN VALLEY,1583264
ARAVAIPA CANYON,1489410
VEKOL VALLEY,870854
YUMA,2274166
AVRA VALLEY,6175655
TIGER WASH,213172
CAMP GRANT WASH,359181
SAN SIMON VALLEY,4899108
SANTA ROSA VALLEY,2944851
UPPER SANTA CRUZ,4965883
WILLCOX,5502787
AGUIRRE VALLEY,2287083
CHILDS VALLEY,2544215
SAN SIMON WASH,6574720
ALLEN FLAT,503870
WESTERN MEXICAN DRAINAGE,1756152
SIERRA VISTA,4725547
CIENEGA CREEK,1770168
DOUGLAS,1135316
SANTA CRUZ AMA,2061614
SAN BERNARDINO VALLEY,1114961
SAN RAFAEL,659102
VIRGIN RIVER,1246601
SHIVWITS PLATEAU,5237172
KANAB PLATEAU,12225310
PARIA,1175765
GRAND WASH,2756630
COCONINO PLATEAU,16733942
HUALAPAI VALLEY,3485738
MEADVIEW,546623
DOUGLAS,1597052
DETRITAL VALLEY,2563266
LAKE MOHAVE,2814673
PEACH SPRINGS,4052983
BIG CHINO,5320054
WIKIEUP,3243939
SACRAMENTO VALLEY,4562433
LITTLE COLORADO RIVER PLATEAU,76381517
FORT ROCK,2474002
VERDE VALLEY,7202222
JOSEPH CITY,520287
BURRO CREEK,1997880
LITTLE CHINO,887182
SANTA MARIA,2531315
LAKE HAVASU,724808
UPPER AGUA FRIA,495931
ALAMO RESERVOIR,2724640
AGUA FRIA,3636839
SKULL VALLEY,888893
CLARA PEAK,1493756
VERDE CANYON,3778733
UPPER HASSAYAMPA,2265672
TONTO CREEK,2751548
SALT RIVER CANYON,6130422
LA POSA PLAINS,3368117
COLORADO RIVER INDIAN RES.,1042588
BUTLER VALLEY,827054
WHITE RIVER,1829514
MCMULLEN VALLEY,1866332
LAKE PLEASANT,682514
CAREFREE,405196
HASSAYAMPA,3446584
WEST SALT RIVER VALLEY,3817916
BLACK RIVER,3609363
RANEGRAS PLAIN,2621289
EAST SALT RIVER VALLEY,4909108
MORENCI,4604299
SALT RIVER LAKES,3495836
FOUNTAIN HILLS,1029295
HARQUAHALA,2202966
CIBOLA VALLEY,1994584
SAN CARLOS VALLEY,4038888
WELLTON-MOHAWK,17806404
BONITA CREEK,1314518
MAMMOTH,4317746
MARICOPA-STANFIELD,2060061
RAINBOW VALLEY,1216379
