SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,0,4,125,0,0,0,44,1733,0,149,0,0,0,13602,58,0,0,0,0,0,0,0,0,0,0,0,0,3979,0,0,0,0,0,0,0,24,4354,1274,136,11,17,0,0,0,640848,1924,844,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,0,0,0,0
DRIPPING SPRINGS WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,3651,2148,327,29,1427,0,39736,0,1039767,1,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,9441,3646,1559,0,0,0,11771,27341,0,28,23,291,0,165098,396,226,0,111,5,0,47,0,0,0,0,0,13,175903,0,0,0,0,0,2,0,373,43822,16998,2733,946,208,0,0,0,3191197,9745,29331,4038,0,0,59,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0
GILA VALLEY,46,90269,57,0,0,0,615,9329,0,1203,0,1590,0,9208,543,0,40,0,0,0,0,0,0,0,0,0,0,81303,0,105,0,0,0,757,0,56,29332,26183,3319,599,4677,4,319528,66,4125754,1292,24161,122,2,36,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DONNELLY WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,89,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,2,0,22,5161,476,1,0,791,0,3,0,833864,0,4037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,24945,188588,1871,0,0,0,3703,160957,0,0,3,99,0,209399,9308,149,0,17,0,0,1,0,0,0,0,0,121,381106,0,0,0,0,13,5088,0,774,154011,53331,18915,4806,3470,0,1,0,2395567,1120,11107,874,0,844,0,0,0,0,11,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0
DUNCAN VALLEY,1721,2137,659,0,0,0,196,63,0,236,0,459,0,4449,3162,0,12,11,0,0,0,0,0,0,0,0,0,13891,0,0,0,0,0,327,0,0,4004,12237,1288,1,48,0,36491,0,1500767,56,952,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAVAIPA CANYON,4,8,0,0,0,0,1,1097,0,25,0,54,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,13,0,0,2331,1455,70,2,165,0,185231,59,1288747,7225,1979,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,6166,2964,160,14,5,0,0,0,861083,0,291,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,626,16646,0,0,0,0,1409,140798,0,0,0,8508,0,85910,1675,1426,358,0,2,50735,424,1881,0,0,0,1383,772,56873,0,0,0,857,55888,185,0,5989,51938,64614,45662,10677,470807,48,4,97,1075858,813,12962,1307,0,0,0,0,235,4863,294,13,364,4067,0,0,9588,0,0,84292,0,0,0,0,0,0,0,0,652,1004,0,34,0
